Tue 23/09/2003 04:00: Success (user = 9.12s system = 0.12s size =  409217 total)
Thu 25/09/2003 04:00: Success (user = 8.85s system = 0.14s size =  408867 total)
Sat 27/09/2003 04:00: Success (user = 9.49s system = 0.61s size =  408867 total)
Mon 29/09/2003 04:00: Success (user = 9.03s system = 0.09s size =  408867 total)
Tue 30/09/2003 04:00: Success (user = 8.93s system = 0.17s size =  408867 total)
Wed 01/10/2003 04:00: Success (user = 8.94s system = 0.16s size =  408867 total)
Thu 02/10/2003 04:00: Success (user = 9.00s system = 0.16s size =  408867 total)
Mon 06/10/2003 04:00: Success (user = 9.12s system = 0.14s size =  408867 total)
Tue 07/10/2003 02:00: Success (user = 9.22s system = 0.10s size =  408867 total)
Wed 08/10/2003 02:00: Success (user = 9.04s system = 0.16s size =  408867 total)
Fri 10/10/2003 02:00: Success (user = 8.88s system = 0.37s size =  408867 total)
Sat 11/10/2003 02:00: Success (user = 9.39s system = 0.31s size =  408867 total)
Mon 13/10/2003 02:00: Success (user = 9.10s system = 0.14s size =  408867 total)
Tue 14/10/2003 02:00: Success (user = 9.02s system = 0.18s size =  408867 total)
Wed 15/10/2003 02:00: Success (user = 9.21s system = 0.13s size =  408867 total)
Thu 16/10/2003 02:00: Success (user = 9.22s system = 0.11s size =  408867 total)
Fri 17/10/2003 02:00: Success (user = 8.95s system = 0.18s size =  408867 total)
Tue 21/10/2003 02:00: Success (user = 8.78s system = 0.34s size =  408867 total)
Wed 22/10/2003 02:00: Success (user = 8.44s system = 0.74s size =  408867 total)
Fri 24/10/2003 02:00: Success (user = 9.37s system = 0.08s size =  408867 total)
Sat 25/10/2003 02:00: Success (user = 9.23s system = 0.13s size =  408867 total)
Mon 27/10/2003 02:00: Success (user = 9.04s system = 0.13s size =  408867 total)
Tue 28/10/2003 02:00: Success (user = 8.90s system = 0.09s size =  408867 total)
Thu 30/10/2003 02:00: Success (user = 8.68s system = 0.11s size =  408869 total)
Fri 31/10/2003 02:00: Success (user = 8.76s system = 0.11s size =  408869 total)
Sat 01/11/2003 02:00: Success (user = 8.78s system = 0.13s size =  408869 total)
Mon 03/11/2003 02:00: Success (user = 8.10s system = 0.67s size =  408869 total)
Tue 04/11/2003 02:00: Success (user = 8.65s system = 0.11s size =  408869 total)
Wed 05/11/2003 02:00: Success (user = 8.72s system = 0.12s size =  408869 total)
Thu 06/11/2003 02:00: Success (user = 8.58s system = 0.13s size =  408869 total)
Fri 07/11/2003 02:00: Success (user = 8.54s system = 0.13s size =  408869 total)
Sat 08/11/2003 02:00: Success (user = 8.66s system = 0.11s size =  408869 total)
Mon 10/11/2003 02:00: Success (user = 8.79s system = 0.09s size =  408869 total)
Tue 11/11/2003 02:00: Success (user = 9.04s system = 0.12s size =  408869 total)
Wed 12/11/2003 02:00: Success (user = 8.97s system = 0.13s size =  408869 total)
Fri 14/11/2003 02:00: Success (user = 8.99s system = 0.11s size =  408901 total)
Sat 15/11/2003 02:00: Success (user = 8.89s system = 0.14s size =  408901 total)
Mon 17/11/2003 02:00: Success (user = 8.90s system = 0.16s size =  408901 total)
Tue 18/11/2003 02:00: Success (user = 7.73s system = 1.26s size =  408901 total)
Wed 19/11/2003 02:00: Success (user = 8.93s system = 0.15s size =  408901 total)
Thu 20/11/2003 02:00: Success (user = 8.91s system = 0.10s size =  408901 total)
Fri 21/11/2003 02:00: Success (user = 8.84s system = 0.13s size =  408901 total)
Sat 22/11/2003 02:00: Success (user = 8.82s system = 0.13s size =  408901 total)
Mon 24/11/2003 02:00: Success (user = 8.87s system = 0.19s size =  408901 total)
Tue 25/11/2003 02:00: Success (user = 8.82s system = 0.16s size =  408901 total)
Wed 26/11/2003 02:00: Success (user = 8.93s system = 0.18s size =  408901 total)
Thu 27/11/2003 02:00: Success (user = 8.81s system = 0.11s size =  408901 total)
Fri 28/11/2003 02:00: Success (user = 8.96s system = 0.13s size =  408901 total)
Sat 29/11/2003 02:00: Success (user = 8.93s system = 0.11s size =  408901 total)
Mon 01/12/2003 02:00: Success (user = 8.93s system = 0.10s size =  408901 total)
Wed 03/12/2003 02:00: Success (user = 8.79s system = 0.11s size =  408901 total)
Thu 04/12/2003 02:00: Success (user = 8.92s system = 0.07s size =  408901 total)
Fri 05/12/2003 02:00: Success (user = 8.99s system = 0.12s size =  408901 total)
Sat 06/12/2003 02:00: Success (user = 8.81s system = 0.16s size =  408901 total)
Mon 08/12/2003 02:00: Success (user = 8.97s system = 0.07s size =  408901 total)
Tue 09/12/2003 02:00: Success (user = 8.83s system = 0.10s size =  408901 total)
Wed 10/12/2003 02:00: Success (user = 8.79s system = 0.11s size =  408901 total)
Thu 11/12/2003 02:00: Success (user = 8.83s system = 0.16s size =  408901 total)
Fri 12/12/2003 02:00: Success (user = 8.71s system = 0.16s size =  408901 total)
Sat 13/12/2003 02:00: Success (user = 8.88s system = 0.12s size =  408901 total)
Mon 15/12/2003 02:00: Success (user = 8.98s system = 0.09s size =  408901 total)
Tue 16/12/2003 02:00: Success (user = 8.91s system = 0.13s size =  408901 total)
Wed 17/12/2003 02:00: Success (user = 8.81s system = 0.06s size =  408901 total)
Thu 18/12/2003 02:00: Success (user = 8.88s system = 0.07s size =  408901 total)
Fri 19/12/2003 02:00: Success (user = 8.74s system = 0.12s size =  408901 total)
Sat 20/12/2003 02:00: Success (user = 8.85s system = 0.10s size =  408901 total)
Mon 22/12/2003 02:00: Success (user = 9.00s system = 0.09s size =  408901 total)
Tue 23/12/2003 02:00: Success (user = 8.88s system = 0.09s size =  408901 total)
Wed 24/12/2003 02:00: Success (user = 8.80s system = 0.14s size =  408901 total)
Thu 25/12/2003 02:00: Success (user = 8.69s system = 0.11s size =  408901 total)
Fri 26/12/2003 02:00: Success (user = 8.73s system = 0.07s size =  408901 total)
Sat 27/12/2003 02:00: Success (user = 8.73s system = 0.13s size =  408901 total)
Mon 29/12/2003 02:00: Success (user = 8.69s system = 0.13s size =  408901 total)
